Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1423526,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NC,28214,Web,6/16/2015,6/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1423512,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,CA,92410,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,
1423574,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,TX,77546,Web,6/16/2015,6/16/2015,GE Capital Retail,Closed with explanation,Yes,
1423531,Credit card,,Closing/Cancelling account,,WA,98146,Web,6/16/2015,6/16/2015,TD Bank,Closed with explanation,Yes,Yes
1423527,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NC,27569,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1423533,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,32046,Web,6/16/2015,6/16/2015,Nationstar Mortgage,Closed with explanation,Yes,
1423569,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,OH,44111,Web,6/16/2015,6/16/2015,"United Recovery Group, LLC",Closed with explanation,Yes,
1423545,Bank account or service,Checking account,Deposits and withdrawals,,OK,73170,Web,6/16/2015,6/16/2015,JPMorgan Chase,Closed with explanation,Yes,
1423688,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90045,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1423674,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,TX,77017,Web,6/16/2015,6/16/2015,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,Yes
1423673,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,90265,Fax,6/16/2015,6/18/2015,"Continental Finance Company, LLC",Closed with explanation,Yes,
1424239,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,CA,90650,Web,6/16/2015,6/16/2015,Ocwen,Closed with explanation,Yes,
1423708,Consumer loan,Installment loan,Managing the loan or lease,,IA,50023,Web,6/16/2015,6/17/2015,Ocwen,Closed with explanation,Yes,
1423699,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MA,1007,Web,6/16/2015,6/18/2015,"Associated Credit Services, Inc.",Closed with non-monetary relief,Yes,
1423758,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,CA,94609,Web,6/16/2015,6/16/2015,"Financial Credit Service, Inc.",Closed with explanation,Yes,Yes
1424194,Credit card,,Other,,CA,92336,Web,6/16/2015,6/16/2015,Wells Fargo,Closed with explanation,Yes,
